Recording date:	2016/06/07
Recording time:	15:34:38
Recording resolution	1024 x 768

pygaze initiation report start
display resolution: 1024x768
display size in cm: 33.8x27.1
fixation threshold: 1.5 degrees
speed threshold: 35 degrees/second
acceleration threshold: 9500 degrees/second**2
pygaze initiation report end
pygaze calibration report start
samplerate: 120 Hz
sampletime: 8.33205667182 ms
accuracy (in pixels): LX=509.9068, LY=382.3034, RX=509.9308, RY=382.2862
precision (RMS noise in pixels): X=209.745083375, Y=172.68178827
distance between participant and display: 57.0 cm
fixation threshold: 43.7594828432 pixels
speed threshold: 1.02082144273 pixels/ms
accuracy threshold: 279.647443825 pixels/ms**2
pygaze calibration report end
TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePointY	Event
2308.0	796.8878	617.9715	0	778.9025	614.6838	0	0.7694	0.8025	
2316.3	791.9420	612.7417	0	779.2681	613.7968	0	0.7672	0.7985	
2324.7	794.5617	616.6868	0	780.3340	617.4558	0	0.7690	0.8035	
2333.0	796.2606	610.9208	0	778.1000	623.2507	0	0.7687	0.8035	
2341.3	795.9894	608.3489	0	782.8990	618.5098	0	0.7709	0.7987	
2349.7	789.1482	610.6281	0	778.8384	612.4102	0	0.7656	0.7962	
2358.0	797.0992	611.6873	0	781.8446	615.4261	0	0.7710	0.7989	
2366.4	806.7841	614.2687	0	785.2933	612.9542	0	0.7774	0.7990	
2374.6	796.6566	617.0925	0	787.4376	614.2424	0	0.7735	0.8017	
2383.0	802.2336	603.2099	0	783.7781	616.6457	0	0.7744	0.7942	
2391.3	797.4920	619.8716	0	783.4100	620.4958	0	0.7719	0.8075	
2399.7	802.8631	609.0247	0	783.9489	609.7350	0	0.7748	0.7935	
2408.0	803.6249	605.0984	0	783.1027	614.9779	0	0.7748	0.7943	
2416.3	801.4911	617.7789	0	777.4523	616.2144	0	0.7710	0.8034	
2424.6	799.1015	613.7963	0	785.9034	614.9795	0	0.7739	0.8000	
2433.0	802.9180	616.9434	0	784.3047	618.0948	0	0.7750	0.8041	
2441.4	801.9842	611.2345	0	785.8144	617.2571	0	0.7753	0.7998	
2449.6	804.1068	611.3406	0	784.2255	625.5332	0	0.7756	0.8053	
2458.0	801.9388	610.4368	0	783.5533	621.1750	0	0.7742	0.8018	
2466.3	806.4414	617.9420	0	774.2238	620.5794	0	0.7718	0.8063	
2474.7	803.8683	611.4992	0	775.2904	618.6608	0	0.7711	0.8009	
2483.0	805.5044	620.2199	0	781.7208	616.3799	0	0.7750	0.8051	
2491.3	797.8986	619.6920	0	780.9867	618.6333	0	0.7709	0.8062	
2499.6	805.5508	618.9160	0	775.1237	622.0939	0	0.7718	0.8079	
